customer_id,first_name,last_name,email,country,age,total_spent,favorite_color,created_at
1,User1,Test1,user1@demo.com,PL,19,730.19,red,2025-07-30 08:02:56.174634
2,User2,Test2,user2@demo.com,PL,35,1014.57,blue,2024-05-17 08:02:56.174648
3,User3,Test3,user3@demo.com,PL,34,1955.06,red,2025-10-25 08:02:56.174654
4,User4,Test4,user4@demo.com,CZ,27,149.74,white,2025-06-24 08:02:56.174658
5,User5,Test5,user5@demo.com,PL,35,889.45,blue,2024-06-05 08:02:56.174665
6,User6,Test6,user6@demo.com,PL,43,720.6,green,2025-02-17 08:02:56.174669
7,User7,Test7,user7@demo.com,CZ,44,995.32,blue,2024-09-20 08:02:56.174673
8,User8,Test8,user8@demo.com,CZ,33,1820.24,white,2024-07-08 08:02:56.174679
9,User9,Test9,user9@demo.com,AT,39,1355.44,blue,2024-09-29 08:02:56.174683
10,User10,Test10,user10@demo.com,CZ,32,1686.81,black,2024-06-07 08:02:56.174686
11,User11,Test11,user11@demo.com,AT,41,1784.8,blue,2024-10-04 08:02:56.174689
12,User12,Test12,user12@demo.com,AT,23,1948.6,blue,2025-12-08 08:02:56.174693
13,User13,Test13,user13@demo.com,DE,42,180.42,green,2026-01-30 08:02:56.174696
14,User14,Test14,user14@demo.com,PL,56,516.94,white,2025-01-21 08:02:56.174701
15,User15,Test15,user15@demo.com,PL,49,605.1,black,2025-10-14 08:02:56.174704
16,User16,Test16,user16@demo.com,AT,25,1100.94,white,2024-05-07 08:02:56.174707
17,User17,Test17,user17@demo.com,PL,52,1068.5,blue,2025-08-06 08:02:56.174710
18,User18,Test18,user18@demo.com,DE,22,1627.99,black,2025-10-10 08:02:56.174714
19,User19,Test19,user19@demo.com,PL,49,1433.39,green,2024-09-07 08:02:56.174717
20,User20,Test20,user20@demo.com,CZ,61,1139.36,blue,2025-09-22 08:02:56.174723
21,User21,Test21,user21@demo.com,PL,51,665.35,green,2025-11-30 08:02:56.174726
22,User22,Test22,user22@demo.com,CZ,37,1847.55,blue,2025-09-20 08:02:56.174729
23,User23,Test23,user23@demo.com,DE,61,1158.8,white,2024-09-19 08:02:56.174732
24,User24,Test24,user24@demo.com,AT,30,78.1,blue,2025-10-19 08:02:56.174735
25,User25,Test25,user25@demo.com,DE,38,778.79,blue,2025-10-14 08:02:56.174737
26,User26,Test26,user26@demo.com,PL,65,502.48,green,2026-01-25 08:02:56.174740
27,User27,Test27,user27@demo.com,AT,53,750.08,red,2024-04-05 08:02:56.174742
28,User28,Test28,user28@demo.com,AT,45,1186.04,red,2025-06-18 08:02:56.174745
29,User29,Test29,user29@demo.com,PL,55,1376.37,black,2025-04-09 08:02:56.174748
30,User30,Test30,user30@demo.com,DE,57,338.93,green,2025-02-11 08:02:56.174753
31,User31,Test31,user31@demo.com,AT,58,1480.24,green,2024-04-17 08:02:56.174755
